sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
12829	YALI1_A20320g	133	107	298	253	275	304
34180	YALI1_C10016g	144	321	894	0	0	24
23064	YALI1_F21467g	19	23	0	0	0	0
13072	YALI1_B03807g	43	73	195	0	0	0
20755	YALI1_E05145g	24	30	91	0	0	0
24366	YALI1_A11258g	114	127	167	4	12	9
7281	YALI1_F22841g	84	63	239	47	152	119
46710	YALI1_F17203g	327	281	335	328	600	453
2185	YALI1_C00368g	185	156	260	528	1090	687
47146	YALI1_F28765g	88	75	103	0	0	0
15003	YALI1_C26161g	85	119	62	0	0	0
28672	YALI1_E03651g	94	141	284	43	121	105
43486	YALI1_F35329g	37	185	40	1	0	0
38953	YALI1_C30672g	132	319	362	369	973	549
7024	YALI1_F16045g	209	216	367	4	14	11
9913	YALI1_B27564g	79	122	87	0	0	0
21518	YALI1_E24283g	48	110	249	315	417	379
25537	YALI1_B18902g	153	320	601	28	123	128
23581	YALI1_F34556g	68	151	285	0	0	0
18404	YALI1_F03075g	330	593	799	1	1	0
27818	YALI1_D16679g	143	76	189	66	79	24
2313	YALI1_C04117g	70	206	316	288	405	325
32908	YALI1_B05830g	73	28	324	0	0	1
24891	YALI1_B01698g	221	172	195	5	2	10
11413	YALI1_D05222g	295	354	650	0	0	1
25596	YALI1_B20359g	113	143	323	0	0	0
42949	YALI1_F21676g	170	132	157	0	0	0
1279	YALI1_B06514g	70	202	290	130	188	188
33797	YALI1_B29844g	123	63	324	0	0	0
9299	YALI1_B10933g	109	172	565	942	677	668
293	YALI1_A04533g	27	71	163	0	0	0
26211	YALI1_C06716g	664	592	945	0	0	0
3564	YALI1_D05343g	114	32	227	1	3	0
19976	YALI1_D20413g	132	15	56	0	0	0
680	YALI1_A14259g	116	238	258	0	0	1
34968	YALI1_C32392g	393	116	191	0	4	34
34518	YALI1_C19105g	116	130	198	0	11	8
29026	YALI1_E13280g	42	366	282	0	0	0
6071	YALI1_E33485g	111	53	617	0	2	0
43321	YALI1_F31531g	161	214	485	0	90	5
24492	YALI1_A14430g	192	329	360	0	2	0
27075	YALI1_C31252g	170	269	217	0	0	0
20888	YALI1_E08512g	232	388	641	0	0	2
29638	YALI1_E27697g	224	297	245	96	139	165
31856	YALI1_A02190g	95	77	280	37	22	42
45602	YALI1_E31050g	127	108	223	0	0	0
26735	YALI1_C21083g	36	20	274	0	0	0
44181	YALI1_D31376g	169	105	104	9	44	49
41984	YALI1_E38389g	568	976	757	1	0	22
8092	YALI1_A03170g	85	213	442	1	0	0
25206	YALI1_B09591g	176	291	205	12	54	37
359	YALI1_A06102g	188	235	319	157	351	245
30592	YALI1_F10760g	160	284	395	0	0	0
41077	YALI1_E16773g	200	302	243	0	0	7
33356	YALI1_B18069g	159	170	623	0	0	1
2659	YALI1_C14147g	148	87	144	5	20	15
718	YALI1_A15172g	75	81	260	0	0	0
36749	YALI1_B00607g	79	225	299	0	0	0
5090	YALI1_E09501g	68	212	145	0	0	0
46383	YALI1_F09802g	83	193	319	92	175	148
42482	YALI1_F10530g	212	428	284	0	0	0
19722	YALI1_F36204g	14	9	146	60	10	10
14106	YALI1_C00962g	19	56	264	0	0	0
24610	YALI1_A17289g	60	132	310	0	62	77
3679	YALI1_D08429g	179	516	584	192	536	550
702	YALI1_A14736g	283	321	424	0	0	1
3835	YALI1_D12135g	228	366	430	95	303	266
40168	YALI1_D28726g	151	275	499	1	0	0
20754	YALI1_E05119g	173	255	259	3	3	5
13348	YALI1_B10990g	56	31	78	0	0	0
36121	YALI1_A07326g	192	439	337	28	51	63
43368	YALI1_F32554g	43	98	49	1	5	0
44133	YALI1_D29910g	171	109	31	0	0	0
29320	YALI1_E20229g	292	299	499	0	0	1
45315	YALI1_E24149g	704	602	546	18	81	40
29995	YALI1_E36395g	133	222	291	5	16	2
4402	YALI1_D26934g	209	455	243	35	168	79
46806	YALI1_F19720g	60	69	192	0	0	0
24284	YALI1_A08941g	139	213	579	12	29	87
10697	YALI1_C18713g	60	185	215	142	562	442
6863	YALI1_F12478g	447	930	312	13	0	14
19813	YALI1_F38476g	177	195	440	0	0	0
30189	YALI1_E41185g	79	190	167	0	0	0
5837	YALI1_E27731g	214	385	491	0	0	1
34974	YALI1_C32558g	73	84	399	1	0	0
40002	YALI1_D24333g	83	219	121	0	0	0
39339	YALI1_D07315g	79	348	82	120	312	118
19792	YALI1_F37986g	494	173	447	0	2	0
30403	YALI1_F05624g	153	245	672	0	0	1
11765	YALI1_D14058g	251	359	665	1	0	0
42010	YALI1_E39171g	170	216	366	0	0	0
16921	YALI1_E07429g	56	44	76	0	0	0
15788	YALI1_D13315g	85	91	438	0	0	0
4831	YALI1_E02626g	72	312	147	1	0	0
14509	YALI1_C12834g	38	0	33	0	0	0
872	YALI1_A18752g	250	355	514	2	3	0
28012	YALI1_D21851t	144	463	368	1	0	0
5908	YALI1_E29197g	123	60	469	268	516	332
8848	YALI1_A21852g	120	132	140	0	0	0
7334	YALI1_F24126g	129	292	834	0	0	2
13147	YALI1_B05698g	36	0	0	0	3	0
17239	YALI1_E15991g	39	115	283	0	0	0
11640	YALI1_D11063g	232	205	431	141	185	134
1796	YALI1_B20399g	84	122	579	0	0	0
26693	YALI1_C19898g	22	33	140	0	0	0
26256	YALI1_C07816g	49	107	49	1	0	16
